LATENCY,PWM_VALUE,ANGLE
0.0005698204040527344,1,-1
0.0005762577056884766,2,-1
0.0003924369812011719,3,-1
0.0012810230255126953,4,-1
0.0003566741943359375,5,-1
0.0009381771087646484,6,-1
0.0003490447998046875,7,-1
0.0011823177337646484,8,-1
0.0010192394256591797,9,-1
0.0003509521484375,10,-1
0.0010325908660888672,11,-1
0.00034809112548828125,12,-1
0.0010979175567626953,13,-1
0.0010330677032470703,14,-1
0.0003643035888671875,15,-1
0.0010137557983398438,16,-1
0.0003447532653808594,17,-1
0.0010650157928466797,18,-1
0.0009737014770507812,19,-1
0.0003476142883300781,20,-1
0.0010859966278076172,21,-1
0.0010001659393310547,22,-1
0.00035881996154785156,23,-1
0.0010645389556884766,24,-1
0.00034809112548828125,25,-1
0.0002970695495605469,26,-1
0.0003559589385986328,27,-1
0.0012676715850830078,28,-1
0.0003333091735839844,29,-1
0.0011243820190429688,30,-1
0.0003380775451660156,31,-1
0.0009534358978271484,32,-1
0.00034308433532714844,33,-1
0.0009377002716064453,34,-1
0.00033664703369140625,35,-1
0.0010771751403808594,36,-1
0.00034999847412109375,37,-1
0.0011429786682128906,38,-1
0.00034999847412109375,39,-1
0.0010433197021484375,40,-1
0.0003402233123779297,41,-1
0.0009605884552001953,42,-1
0.00038242340087890625,43,-1
0.0010433197021484375,44,-1
0.0003352165222167969,45,-1
0.0009760856628417969,46,-1
0.0003275871276855469,47,-1
0.0008018016815185547,48,-1
0.00033664703369140625,49,-1
0.0009958744049072266,50,-1
0.00037384033203125,51,-1
0.0009503364562988281,52,-1
0.0003342628479003906,53,-1
0.000989675521850586,54,-1
0.0003337860107421875,55,-1
0.0005135536193847656,56,-1
0.0003631114959716797,57,-1
0.0013077259063720703,58,-1
0.0003540515899658203,59,-1
0.0009808540344238281,60,-1
0.0003254413604736328,61,-1
0.0010540485382080078,62,-1
0.0003361701965332031,63,-1
0.0007534027099609375,64,-1
0.0003764629364013672,65,-1
0.0009856224060058594,66,-1
0.0003619194030761719,67,-1
0.0009970664978027344,68,-1
0.00036907196044921875,69,-1
0.00032830238342285156,71,-1
0.0011527538299560547,72,-1
0.00038623809814453125,73,-1
0.0007784366607666016,74,-1
0.0003540515899658203,75,-1
0.0010044574737548828,76,-1
0.00033664703369140625,77,-1
0.0009360313415527344,78,-1
0.0003299713134765625,79,-1
0.0009531974792480469,80,-1
0.00036644935607910156,81,-1
0.0007579326629638672,82,-1
0.00033092498779296875,83,-1
0.0009701251983642578,84,-1
0.00033283233642578125,85,-1
0.00033855438232421875,86,-1
0.0010404586791992188,87,-1
0.0003597736358642578,88,-1
0.0012629032135009766,89,-1
0.00033855438232421875,90,-1
0.0009312629699707031,91,-1
0.0012974739074707031,92,-1
0.0003726482391357422,93,-1
0.0012805461883544922,94,-1
0.0003325939178466797,95,-1
0.0011930465698242188,96,-1
0.00033736228942871094,97,-1
0.0010514259338378906,98,-1
0.0003676414489746094,99,-1
0.0009300708770751953,100,-1
0.00032806396484375,101,-1
0.00075531005859375,102,-1
0.0003414154052734375,103,-1
0.0014319419860839844,104,-1
0.0003368854522705078,105,-1
0.001241445541381836,106,-1
0.0003266334533691406,107,-1
0.001222848892211914,108,-1
0.000990152359008789,109,-1
0.0003745555877685547,110,-1
0.001390695571899414,111,-1
0.0003337860107421875,112,-1
0.001520395278930664,113,-1
