Latencia (s),PWM Value,Angle (°)
0.0,0.0,0.0
0.0006551742553710938,-1.0,0.0
0.001428365707397461,-1.0,0.0
0.003612518310546875,-1.0,0.0
0.0024220943450927734,-1.0,0.0
0.002691984176635742,-1.0,0.0
0.002492189407348633,-1.0,0.0
0.0012633800506591797,-1.0,0.0
0.001153707504272461,-1.0,0.0
0.008338212966918945,-1.0,0.0
0.0030612945556640625,-1.0,0.0
0.009564399719238281,-1.0,0.0
0.0008082389831542969,-1.0,0.0
0.00014328956604003906,-1.0,0.0
0.0009403228759765625,-1.0,0.0
9.894371032714844e-05,-1.0,0.0
0.00012922286987304688,-1.0,0.0
0.00011515617370605469,-1.0,0.0
0.00011944770812988281,-1.0,0.0
0.00013065338134765625,-1.0,0.0
0.00014710426330566406,-1.0,0.0
0.0001556873321533203,-1.0,0.0
0.0001709461212158203,-1.0,0.0
0.0002765655517578125,-1.0,0.0
0.00012087821960449219,-1.0,0.0
0.0002703666687011719,-1.0,0.0
0.00019669532775878906,-1.0,0.0
0.0002589225769042969,-1.0,0.0
0.0002999305725097656,-1.0,0.0
0.00036525726318359375,-1.0,0.0
0.00039505958557128906,-1.0,0.0
0.0005137920379638672,-1.0,0.0
0.0003497600555419922,-1.0,0.0
0.0003495216369628906,-1.0,0.0
0.00035762786865234375,-1.0,0.0
0.0003685951232910156,-1.0,0.0
0.00036334991455078125,-1.0,0.0
0.0003440380096435547,-1.0,0.0
0.000339508056640625,-1.0,0.0
0.0003409385681152344,-1.0,0.0
0.0003838539123535156,-1.0,0.0
0.00035190582275390625,-1.0,0.0
0.0002932548522949219,-1.0,0.0
0.00035381317138671875,-1.0,0.0
0.0003390312194824219,-1.0,0.0
0.00028896331787109375,-1.0,0.0
0.000339508056640625,-1.0,0.0
0.0003352165222167969,-1.0,0.0
0.00034117698669433594,-1.0,0.0
0.00033664703369140625,-1.0,0.0
0.00035762786865234375,-1.0,0.0
0.0003337860107421875,-1.0,0.0
0.00033974647521972656,-1.0,0.0
0.0003726482391357422,-1.0,0.0
0.0003457069396972656,-1.0,0.0
0.00034165382385253906,-1.0,0.0
0.00030517578125,-1.0,0.0
0.00034928321838378906,-1.0,0.0
0.0003535747528076172,-1.0,0.0
0.0003426074981689453,-1.0,0.0
0.0003597736358642578,-1.0,0.0
0.0003838539123535156,-1.0,0.0
0.000370025634765625,-1.0,0.0
0.0003917217254638672,-1.0,0.0
0.00036334991455078125,-1.0,0.0
0.0002243518829345703,-1.0,0.0
0.00015664100646972656,-1.0,0.0
0.00037097930908203125,-1.0,0.0
0.0006461143493652344,-1.0,0.0
0.0003764629364013672,-1.0,0.0
0.0003478527069091797,-1.0,0.0
0.0010578632354736328,-1.0,0.0
0.0003609657287597656,-1.0,0.0
0.00121307373046875,-1.0,0.0
0.0004801750183105469,-1.0,0.0
0.0006642341613769531,-1.0,0.0
0.0005259513854980469,-1.0,0.0
0.0003991127014160156,-1.0,0.0
0.001191854476928711,-1.0,0.0
0.0003769397735595703,-1.0,0.0
0.0013179779052734375,-1.0,0.0
0.0003578662872314453,-1.0,0.0
0.0014636516571044922,-1.0,0.0
0.0004029273986816406,-1.0,0.0
0.0011737346649169922,-1.0,0.0
0.000362396240234375,-1.0,0.0
0.0009617805480957031,-1.0,0.0
0.00034737586975097656,-1.0,0.0
0.0013649463653564453,-1.0,0.0
0.0003514289855957031,-1.0,0.0
0.0009984970092773438,-1.0,0.0
0.0003452301025390625,-1.0,0.0
0.0008041858673095703,-1.0,0.0
0.0003600120544433594,-1.0,0.0
0.0012497901916503906,-1.0,0.0
0.00047659873962402344,-1.0,0.0
0.0014171600341796875,-1.0,0.0
0.0003647804260253906,-0.009,0.0
0.0007822513580322266,-0.009,0.0
0.000347137451171875,-0.009,0.0
0.0009062290191650391,-0.008,0.0
0.0003559589385986328,-0.008,0.0
0.0002346038818359375,-0.008,0.0
0.0003559589385986328,-0.008,0.0
0.0003376007080078125,-0.008,0.0
0.00033283233642578125,-0.008,0.0
0.0003445148468017578,-0.008,0.0
0.00032591819763183594,-0.008,0.0
0.0003635883331298828,-0.008,0.0
0.00045418739318847656,-0.008,0.0
0.00040078163146972656,-0.008,0.0
0.000736236572265625,-0.008,0.0
0.0004162788391113281,-0.007,0.0
0.0005023479461669922,-0.007,0.0
0.00036525726318359375,-0.007,0.0
0.0005865097045898438,-0.007,0.0
0.0003571510314941406,-0.007,0.0
0.0007791519165039062,-0.007,0.0
0.00036525726318359375,-0.007,0.0
0.00038909912109375,-0.006,0.0
0.0008418560028076172,-0.006,0.0
0.0003712177276611328,-0.006,0.0
0.0011744499206542969,-0.006,0.0
0.0003674030303955078,-0.006,0.0
0.0014667510986328125,-0.006,0.0
0.00035643577575683594,-0.006,0.0
0.0004878044128417969,-0.005,0.0
0.0005257129669189453,-0.005,0.0
0.00038909912109375,-0.005,0.0
0.0010802745819091797,-0.005,0.0
0.0003628730773925781,-0.005,0.0
0.0008058547973632812,-0.005,0.0
0.0003578662872314453,-0.005,0.0
0.0007598400115966797,-0.005,0.0
0.0003533363342285156,-0.005,0.0
0.0007641315460205078,-0.005,0.0
0.0003387928009033203,-0.005,0.0
0.0007414817810058594,-0.005,0.0
0.00034737586975097656,-0.005,0.0
0.0007302761077880859,-0.005,0.0
0.0003409385681152344,-0.005,0.0
0.0007424354553222656,-0.005,0.0
0.0003764629364013672,-0.005,0.0
0.0007781982421875,-0.005,0.0
0.00034499168395996094,-0.005,0.0
0.0007357597351074219,-0.005,0.0
0.0003502368927001953,-0.005,0.0
0.0012178421020507812,-0.005,0.0
0.00034618377685546875,-0.005,0.0
0.0007688999176025391,-0.005,0.0
0.00034236907958984375,-0.005,0.0
0.0007443428039550781,-0.005,0.0
0.00033664703369140625,-0.005,0.0
0.0007727146148681641,-0.005,0.0
0.0003426074981689453,-0.005,0.0
0.0007834434509277344,-0.005,0.0
0.00038743019104003906,-0.005,0.0
0.000751495361328125,-0.005,0.0
0.00037932395935058594,-0.005,0.0
0.00044846534729003906,-0.005,0.0
0.0003573894500732422,-0.005,0.0
0.0010662078857421875,-0.005,0.0
0.0003464221954345703,-0.005,0.0
0.0010902881622314453,-0.005,0.0
0.0003452301025390625,-0.005,0.0
0.0010385513305664062,-0.005,0.0
0.0004875659942626953,-0.005,0.0
0.0010437965393066406,-0.005,0.0
0.0003590583801269531,-0.005,0.0
0.0010478496551513672,-0.005,0.0
0.00034737586975097656,-0.005,0.0
0.0014891624450683594,-0.005,0.0
0.00034999847412109375,-0.005,0.0
0.001028299331665039,-0.005,0.0
0.0003495216369628906,-0.005,0.0
0.0012431144714355469,-0.005,0.0
0.00036144256591796875,-0.005,0.0
0.001001596450805664,-0.005,0.0
0.0003943443298339844,-0.005,0.0
0.00042128562927246094,-0.005,0.0
0.0013396739959716797,-0.005,0.0
0.0004062652587890625,-0.005,0.0
0.0012366771697998047,-0.005,0.0
0.0003795623779296875,-0.005,0.0
0.0012595653533935547,-0.005,0.0
0.00039076805114746094,-0.005,0.0
0.0008645057678222656,-0.005,0.0
0.00035572052001953125,-0.005,0.0
0.0010821819305419922,-0.005,0.0
0.00035452842712402344,-0.005,0.0
0.001077890396118164,-0.005,0.0
0.00037789344787597656,-0.005,0.0
0.0011184215545654297,-0.005,0.0
0.0003485679626464844,-0.005,0.0
0.0010859966278076172,-0.005,0.0
0.00034236907958984375,-0.005,0.0
0.0012722015380859375,-0.005,0.0
0.0003421306610107422,-0.005,0.0
0.0011115074157714844,-0.005,0.0
0.0003581047058105469,-0.004,0.0
0.000335693359375,-0.004,0.0
0.00032711029052734375,-0.004,0.0
0.0014684200286865234,-0.003,0.0
0.00034737586975097656,-0.002,0.0
0.0003752708435058594,-0.002,0.0
0.0003409385681152344,-0.002,0.0
0.0003368854522705078,-0.002,0.0
0.0004222393035888672,-0.001,0.0
0.0008895397186279297,0.0,0.0
0.00037670135498046875,0.001,0.0
0.0013041496276855469,0.001,0.0
0.00040221214294433594,0.001,0.0
0.0008118152618408203,0.001,0.0
0.0003554821014404297,0.001,0.0
0.0010538101196289062,0.001,0.0
0.0003857612609863281,0.001,0.0
0.0010554790496826172,0.001,0.0
0.00036072731018066406,0.001,0.0
0.0008718967437744141,0.002,0.0
0.00035572052001953125,0.002,0.0
0.0013432502746582031,0.002,0.0
0.0003743171691894531,0.002,0.0
0.0005855560302734375,0.003,0.0
0.00041961669921875,0.003,0.0
0.0012202262878417969,0.004,0.0
0.0003762245178222656,0.005,0.0
0.001355886459350586,0.005,0.0
0.0003616809844970703,0.005,0.0
0.0012140274047851562,0.005,0.0
0.00036597251892089844,0.006,0.0
0.00040268898010253906,0.006,0.0
0.0012810230255126953,0.007,0.0
0.0004119873046875,0.007,0.0
0.0006263256072998047,0.008,0.0
0.0003733634948730469,0.009,0.0
0.0008027553558349609,0.009,0.0
0.00040531158447265625,0.01,0.0
0.00035500526428222656,0.01,0.0
0.0006766319274902344,0.011,0.0
0.0003807544708251953,0.011,0.0
0.0006856918334960938,0.012,0.0
0.00038909912109375,0.013,0.0
0.0005917549133300781,0.013,0.0
0.0006732940673828125,0.014,0.0
0.0003750324249267578,0.014,0.0
0.0003788471221923828,0.014,0.0
0.00039839744567871094,0.015,0.0
0.00039005279541015625,0.015,0.0
0.0008327960968017578,0.015,0.0
0.00036525726318359375,0.015,0.0
0.0012822151184082031,0.017,0.0
0.00041294097900390625,0.017,0.0
0.0012583732604980469,0.017,0.0
0.0005550384521484375,0.017,0.0
0.0012676715850830078,0.018,0.0
0.0005908012390136719,0.018,0.0
0.0009546279907226562,0.019,0.0
0.0004966259002685547,0.02,0.0
0.0009076595306396484,0.021,0.0
0.0004558563232421875,0.022,0.0
0.00042247772216796875,0.024,0.0
0.0003657341003417969,0.025,0.0
0.0006852149963378906,0.025,0.0
0.00038170814514160156,0.025,0.0
0.00035262107849121094,0.025,0.0
0.0017852783203125,0.025,0.0
0.0004029273986816406,0.025,0.0
0.0009479522705078125,0.025,0.0
0.0003724098205566406,0.026,0.0
0.0015215873718261719,0.026,0.4
0.00037598609924316406,0.026,0.4
0.0017695426940917969,0.026,0.4
0.0003609657287597656,0.026,0.4
0.0012543201446533203,0.026,0.4
0.0008919239044189453,0.027,0.4
0.0013513565063476562,0.027,0.4
0.0024611949920654297,0.028,0.4
0.0012085437774658203,0.028,0.4
0.0003685951232910156,0.029,0.4
0.0012526512145996094,0.03,0.4
0.0005743503570556641,0.03,0.4
0.0028231143951416016,0.031,0.4
0.0011563301086425781,0.031,0.4
0.0008628368377685547,0.031,0.4
0.0020422935485839844,0.031,0.4
0.0007045269012451172,0.031,0.8
0.0015130043029785156,0.031,0.8
0.0005946159362792969,0.031,0.8
0.0009770393371582031,0.032,0.8
0.0004162788391113281,0.032,0.8
0.0011763572692871094,0.032,0.8
0.0007872581481933594,0.032,0.8
0.0017096996307373047,0.032,0.8
0.0005316734313964844,0.032,0.8
0.00202178955078125,0.032,0.8
0.0005135536193847656,0.032,0.8
0.0018343925476074219,0.032,0.8
0.00047135353088378906,0.032,0.8
0.001781463623046875,0.032,0.8
0.0004730224609375,0.032,0.8
0.002035856246948242,0.032,0.8
0.0004756450653076172,0.032,0.8
0.002074003219604492,0.032,0.8
0.0004699230194091797,0.032,0.8
0.002373218536376953,0.032,0.4
0.0005424022674560547,0.032,0.4
0.0009424686431884766,0.032,0.4
0.0005810260772705078,0.032,0.4
0.0013358592987060547,0.032,0.4
0.00037789344787597656,0.033,0.4
0.0010840892791748047,0.033,0.4
0.0004990100860595703,0.033,0.4
0.001874685287475586,0.033,0.0
0.0003864765167236328,0.034,0.0
0.0025033950805664062,0.034,0.4
0.0008456707000732422,0.034,0.4
0.000392913818359375,0.034,0.4
0.0022454261779785156,0.034,0.4
0.0006213188171386719,0.034,0.4
0.001978635787963867,0.034,0.4
0.0005743503570556641,0.034,0.8
0.0018506050109863281,0.034,0.8
0.0005035400390625,0.034,0.8
0.0014176368713378906,0.034,1.2000000000000002
0.0005037784576416016,0.034,1.2000000000000002
0.0015301704406738281,0.034,1.6
0.0005123615264892578,0.034,1.6
0.0018787384033203125,0.034,2.0
0.0004839897155761719,0.034,2.4000000000000004
0.001779317855834961,0.034,2.4000000000000004
0.0004856586456298828,0.034,2.8000000000000003
0.0004639625549316406,0.034,2.8000000000000003
0.0004203319549560547,0.034,3.2
0.0017788410186767578,0.034,3.2
0.00046133995056152344,0.034,3.6
0.0013124942779541016,0.034,4.0
0.0004875659942626953,0.034,4.0
0.001971721649169922,0.034,4.4
0.0004863739013671875,0.034,4.4
0.002331972122192383,0.034,4.800000000000001
0.00045108795166015625,0.034,4.800000000000001
0.002377033233642578,0.034,4.800000000000001
0.00045418739318847656,0.034,5.2
0.0014429092407226562,0.034,5.2
0.0005087852478027344,0.034,5.2
0.0018229484558105469,0.034,5.2
0.0005254745483398438,0.034,5.2
0.0013921260833740234,0.034,5.6000000000000005
0.0013730525970458984,0.034,5.6000000000000005
0.0005052089691162109,0.034,5.6000000000000005
0.0019528865814208984,0.034,5.6000000000000005
0.00048089027404785156,0.034,5.2
0.002190828323364258,0.034,5.2
0.0006334781646728516,0.034,5.2
0.0014352798461914062,0.034,5.2
0.0007312297821044922,0.034,5.2
0.0016376972198486328,0.034,4.800000000000001
0.000492095947265625,0.034,4.800000000000001
0.0020580291748046875,0.034,4.4
0.0004956722259521484,0.034,4.4
0.0024590492248535156,0.034,4.4
0.0004603862762451172,0.034,4.0
0.0023581981658935547,0.034,4.0
0.0004565715789794922,0.034,3.6
0.0008230209350585938,0.034,3.6
0.0005595684051513672,0.035,3.2
0.0013349056243896484,0.035,3.2
0.0006520748138427734,0.035,2.8000000000000003
0.0019233226776123047,0.036,2.8000000000000003
0.0004208087921142578,0.036,2.4000000000000004
0.0009262561798095703,0.036,2.4000000000000004
0.0004620552062988281,0.037,2.0
0.00037741661071777344,0.037,2.0
0.0005924701690673828,0.037,1.6
